Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-1038.584	-1225.308	186.7235	0.9028901	2.489097	0.629914	0.370086	2.151259
6	-1037.8	-1224.225	186.4244	0.8462554	3.310483	0.56795	0.43205	2.148204
12	-1039.182	-1225.919	186.7363	1.266192	3.332493	0.611683	0.388317	1.644325
18	-1045.544	-1232.725	187.1819	1.166996	2.634338	0.747835	0.252165	1.610116
24	-1034.262	-1220.618	186.3564	1.021385	3.329102	0.580921	0.419079	2.073287
30	-1042.026	-1229.213	187.1868	1.046467	2.189537	0.673093	0.326907	1.850106
36	-1040.354	-1226.762	186.4088	1.250811	2.462397	0.526126	0.473874	2.138202
42	-1035.004	-1221.751	186.7471	0.8209604	1.965954	0.6351	0.3649	2.370295
48	-1044.651	-1230.806	186.1558	0.9426692	2.350631	0.531452	0.468548	2.531557
54	-1037.117	-1223.303	186.1861	0.8609216	2.116411	0.633558	0.366442	2.641551
60	-1032.808	-1219.435	186.6269	1.231251	2.61858	0.645872	0.354128	1.956683
66	-1042.795	-1229.381	186.5862	1.150471	2.885145	0.562845	0.437155	1.956683
72	-1050.853	-1238.031	187.1783	1.174286	1.950312	0.456379	0.543621	1.861967
78	-1056.641	-1243.421	186.7799	0.90444	2.093621	0.528573	0.471427	2.248793
84	-1050.295	-1237.929	187.6337	1.234531	1.83799	0.466678	0.533322	1.545342
90	-1043.311	-1230.242	186.9317	1.150419	2.99135	0.575895	0.424105	1.686799
96	-1042.786	-1230.764	187.9786	1.169797	1.551012	0.599587	0.400413	1.479498
102	-1047.883	-1235.02	187.1374	1.239657	3.177893	0.587806	0.412194	1.411469
108	-1038.111	-1224.98	186.8694	1.000553	3.373657	0.594482	0.405518	1.727205
114	-1026.649	-1213.372	186.7223	1.074946	2.1852	0.430056	0.569944	2.142723
120	-1030.097	-1216.527	186.4293	1.06369	2.734267	0.487731	0.512269	2.162293
126	-1047.141	-1233.762	186.6216	1.065239	1.888989	0.556813	0.443187	2.324363
132	-1035.294	-1222.809	187.515	1.280349	1.880064	0.468999	0.531001	1.579714
138	-1031.098	-1218.146	187.0479	1.393491	2.570131	0.422313	0.577687	1.564903
144	-1027.021	-1214.694	187.6729	1.307313	2.070677	0.656019	0.343981	1.353537
150	-1022.092	-1208.606	186.5141	1.025623	3.010147	0.5363	0.4637	2.051982
156	-1029.015	-1215.897	186.882	1.098703	1.947054	0.444114	0.555886	2.111866
162	-1027.26	-1214.048	186.7888	0.9426064	2.690688	0.516617	0.483383	2.018756
168	-1032.298	-1219.128	186.8305	1.068116	2.969035	0.543638	0.456362	1.821833
174	-1032.084	-1219.369	187.2854	1.227495	2.873285	0.552672	0.447328	1.40587
180	-1038.552	-1225.899	187.3479	1.403493	3.379372	0.600663	0.399337	1.024032
186	-1042.606	-1229.848	187.2412	1.435515	2.642408	0.581595	0.418405	1.359769
192	-1039.579	-1226.783	187.2039	1.361989	3.058133	0.530607	0.469393	1.300981
198	-1046.72	-1233.527	186.8076	1.124614	3.058133	0.513913	0.486087	1.772429
204	-1038.293	-1225.936	187.6426	1.52618	2.568119	0.591902	0.408098	0.9544921
210	-1030.564	-1217.988	187.4241	1.736632	2.9712	0.592244	0.407756	0.7394197
216	-1016.737	-1204.266	187.5292	1.736916	2.733206	0.636348	0.363652	0.7394197
222	-1039.928	-1227.33	187.4012	1.741803	3.220876	0.639541	0.360459	0.5313045
228	-1040.378	-1226.789	186.4107	1.261913	3.734918	0.568969	0.431031	1.771595
234	-1030.139	-1217.333	187.1942	1.131813	2.22816	0.543991	0.456009	1.771595
240	-1042.424	-1229.317	186.8934	1.29185	3.806838	0.590144	0.409856	1.376387
246	-1034.856	-1222.316	187.4595	1.112866	2.785558	0.68984	0.31016	1.38998
252	-1036.769	-1223.838	187.0696	1.38184	3.336594	0.719321	0.280679	1.302613
258	-1025.543	-1212.907	187.3643	1.273584	3.188873	0.624814	0.375186	1.196019
264	-1036.565	-1224.106	187.5414	1.139305	2.665678	0.560876	0.439124	1.347991
270	-1042.518	-1229.784	187.2666	1.427506	3.008424	0.523834	0.476166	1.211806
276	-1034.115	-1222.013	187.898	1.476705	2.182048	0.541032	0.458968	0.9460967
282	-1040.979	-1228.648	187.6691	1.642426	2.182048	0.598084	0.401916	1.010794
288	-1044.846	-1232.687	187.8407	1.432952	2.500589	0.53185	0.46815	0.874935
294	-1025.847	-1213.221	187.3736	1.453255	3.507282	0.572703	0.427297	0.8940951
300	-1040.285	-1227.914	187.6291	1.357158	2.290785	0.523788	0.476212	1.250698
306	-1035.186	-1222.414	187.2285	1.394706	3.462744	0.565528	0.434472	1.114456
312	-1046.53	-1233.985	187.4556	1.323758	3.082286	0.648345	0.351655	1.109642
318	-1026.17	-1213.254	187.084	1.62279	3.212386	0.632696	0.367304	1.12718
324	-1032.11	-1219.992	187.8814	1.645165	2.109667	0.609488	0.390512	0.8168238
330	-1029.674	-1217.083	187.4093	1.182546	3.090395	0.571366	0.428634	1.268727
336	-1023.235	-1210.731	187.496	1.464414	2.66853	0.613562	0.386438	1.110628
342	-1020.619	-1207.948	187.3287	1.23447	3.636056	0.562859	0.437141	1.110628
348	-1022.237	-1209.928	187.6914	1.315794	2.569808	0.566507	0.433493	1.110628
354	-1035.409	-1222.382	186.9723	1.360634	2.308704	0.501719	0.498281	1.736811
360	-1033.255	-1220	186.7448	1.093584	4.116717	0.566971	0.433029	1.559758
366	-1037.194	-1222.949	185.755	1.114854	3.068856	0.615457	0.384543	2.466595
372	-1029.012	-1215.182	186.17	0.9447195	2.525402	0.583014	0.416986	2.466595
378	-1030.453	-1216.194	185.7409	1.164371	2.489298	0.53541	0.46459	2.608034
384	-1036.958	-1224.522	187.5638	1.118735	1.713693	0.534227	0.465773	1.736561
390	-1045.571	-1232.966	187.3953	1.056914	1.881213	0.449483	0.550517	1.822425
396	-1034.348	-1221.469	187.1211	1.143339	3.082555	0.588171	0.411829	1.526578
402	-1032.562	-1219.974	187.4115	1.679791	2.772732	0.581869	0.418131	0.9353841
